Generating 1000 consistent theories (N=5, active max M=6, global max M=20)...
  Train batches : 50  (800 theories)
  Test  batches : 13  (200 theories)
  Empty theories in sanity subset: 0  (should be 0)
  Inconsistent theories in sanity subset: 0  (should be 0)
  Sanity subset size: 200 / 1000

Epoch 141/1000 | Stage max M: 6 | Train Loss: 0.7934 | Train Consistent: 172/800 (21.5%) | Test Loss: 0.7636 | Test Consistent: 51/200 (25.5%)
Epoch 142/1000 | Stage max M: 6 | Train Loss: 0.8068 | Train Consistent: 163/800 (20.4%) | Test Loss: 0.7872 | Test Consistent: 45/200 (22.5%)
Epoch 143/1000 | Stage max M: 6 | Train Loss: 0.8030 | Train Consistent: 156/800 (19.5%) | Test Loss: 0.7805 | Test Consistent: 50/200 (25.0%)
Epoch 144/1000 | Stage max M: 6 | Train Loss: 0.8045 | Train Consistent: 148/800 (18.5%) | Test Loss: 0.7915 | Test Consistent: 50/200 (25.0%)
Epoch 145/1000 | Stage max M: 6 | Train Loss: 0.7994 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.7876 | Test Consistent: 42/200 (21.0%)
Epoch 146/1000 | Stage max M: 6 | Train Loss: 0.8059 | Train Consistent: 169/800 (21.1%) | Test Loss: 0.7709 | Test Consistent: 47/200 (23.5%)
Epoch 147/1000 | Stage max M: 6 | Train Loss: 0.7920 | Train Consistent: 183/800 (22.9%) | Test Loss: 0.7934 | Test Consistent: 42/200 (21.0%)
Epoch 148/1000 | Stage max M: 6 | Train Loss: 0.7980 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.7954 | Test Consistent: 53/200 (26.5%)
Epoch 149/1000 | Stage max M: 6 | Train Loss: 0.7966 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.7775 | Test Consistent: 45/200 (22.5%)
Epoch 150/1000 | Stage max M: 6 | Train Loss: 0.8028 | Train Consistent: 161/800 (20.1%) | Test Loss: 0.8015 | Test Consistent: 38/200 (19.0%)
Epoch 151/1000 | Stage max M: 6 | Train Loss: 0.7917 | Train Consistent: 168/800 (21.0%) | Test Loss: 0.7773 | Test Consistent: 39/200 (19.5%)
Epoch 152/1000 | Stage max M: 6 | Train Loss: 0.8032 | Train Consistent: 159/800 (19.9%) | Test Loss: 0.8027 | Test Consistent: 39/200 (19.5%)
Epoch 153/1000 | Stage max M: 6 | Train Loss: 0.8070 | Train Consistent: 141/800 (17.6%) | Test Loss: 0.7871 | Test Consistent: 43/200 (21.5%)
Epoch 154/1000 | Stage max M: 6 | Train Loss: 0.7867 | Train Consistent: 179/800 (22.4%) | Test Loss: 0.7900 | Test Consistent: 37/200 (18.5%)
Epoch 155/1000 | Stage max M: 6 | Train Loss: 0.7945 | Train Consistent: 167/800 (20.9%) | Test Loss: 0.7906 | Test Consistent: 49/200 (24.5%)
Epoch 156/1000 | Stage max M: 6 | Train Loss: 0.7987 | Train Consistent: 177/800 (22.1%) | Test Loss: 0.7739 | Test Consistent: 54/200 (27.0%)
Epoch 157/1000 | Stage max M: 6 | Train Loss: 0.7778 | Train Consistent: 184/800 (23.0%) | Test Loss: 0.7862 | Test Consistent: 46/200 (23.0%)
